"","Estimate","Est.Error","Q2.5","Q97.5","iso3c"
"MUS",0.13500274240555,0.0453656180621398,0.0474288552176618,0.221726289081738,"MUS"
"MWI",-0.677219646769848,0.0433930090894616,-0.761127472541133,-0.592555938698096,"MWI"
"MYS",0.0638959872210947,0.0444880516090662,-0.0233213589726046,0.152823666367581,"MYS"
"NAM",-0.370393465218552,0.0453065148672993,-0.458477842942778,-0.285041597727405,"NAM"
"NER",0.0483316803073971,0.0447445492616136,-0.0399020404318705,0.13638606962949,"NER"
"NGA",0.0970180913596774,0.0465923235026469,0.00495135132653865,0.185178138845666,"NGA"
"NIC",0.0892433847871739,0.0431831717591156,0.00494770591057711,0.17594561228358,"NIC"
"NPL",0.0838597994306536,0.0446386919897222,-0.00592733821138456,0.169402881270152,"NPL"
"PAK",0.0904010676308988,0.0454080117946239,0.00481444192654672,0.180347215372344,"PAK"
"PAN",0.0875765294805847,0.0464433767595399,-0.00120850690438846,0.177179306960806,"PAN"
"PER",0.0725709545828073,0.0447875295603438,-0.0141252178114339,0.16158597897989,"PER"
"PHL",0.0888055782527541,0.0461475185416496,-0.0053886989631169,0.176079477900962,"PHL"
"PNG",0.104721798410267,0.0447835644621344,0.0152001579314442,0.187489251224021,"PNG"
"PRY",0.076772559251901,0.0441283322267654,-0.00895325798219063,0.163245297891865,"PRY"
"ROU",0.0827616818293549,0.0488675289719581,-0.0108369286249115,0.180852021458797,"ROU"
"RWA",-0.144851817859357,0.0451156863245994,-0.232653311492471,-0.0590307716372298,"RWA"
"SAU",0.0841164697664888,0.144977369349743,-0.192723702390782,0.376977152212039,"SAU"
"SDN",0.0815494622933873,0.0461503566495446,-0.00791448362248473,0.173949512863834,"SDN"
"SEN",0.0545963624046772,0.0444876502174303,-0.029973390892288,0.136662591644864,"SEN"
"SLE",0.0482203454090185,0.0440893784518816,-0.0414102632035153,0.130610074472743,"SLE"
"SLV",0.0829396207835178,0.0442878090955287,-0.00250189732312722,0.167847354163607,"SLV"
"SOM",0.0718062662977397,0.0447004485454623,-0.0148319975544526,0.153714289850008,"SOM"
"SRB",0.0827648082880076,0.0449331066814108,-0.00610146069345819,0.168991814269554,"SRB"
"SSD",0.0723589661107058,0.0450271508829453,-0.0146359788071537,0.16328843243129,"SSD"
"SUR",0.0661727400016918,0.0454687969266326,-0.0269670784935414,0.154028690419478,"SUR"
"SVN",0.0908209136321745,0.13186497359434,-0.159456719732773,0.342633705716907,"SVN"
"SWZ",-0.103947797016838,0.0439471611283257,-0.190971504405042,-0.0184808121558902,"SWZ"
"SYR",0.0819401402108962,0.0457090357080926,-0.00353695925943621,0.171853312524564,"SYR"
"TCD",-0.0260717437331474,0.0462854684509843,-0.116017127858943,0.0680278959210216,"TCD"
"TGO",-0.0704526992145303,0.0436290536920818,-0.153240392219202,0.0145218926635372,"TGO"
"THA",-0.058494715233171,0.0446725704946677,-0.146360140481663,0.0265076030419,"THA"
"TJK",0.0962106716479347,0.04433417425599,0.0115040815418847,0.182369942668584,"TJK"
"TLS",0.0873374907376043,0.0455033762526179,-0.000714463618496464,0.173357246147655,"TLS"
"TTO",0.106336622131058,0.0784493410076001,-0.0385610721536456,0.262180604449658,"TTO"
"TUN",0.0823498045996565,0.0452265916524551,-0.00634073962425812,0.172023215637571,"TUN"
"TZA",-0.100754421668752,0.0460169154228093,-0.191471461231431,-0.0118117549806895,"TZA"
"UGA",-0.123314264195795,0.0462604566701216,-0.214484779587025,-0.0331854920929776,"UGA"
"UKR",0.086992013078888,0.0429165893613893,0.00200110559324581,0.169723895527475,"UKR"
"URY",0.0849561532458883,0.0435866709623909,-0.00291625088296793,0.16702235565781,"URY"
"UZB",0.092830619840988,0.0448862098350055,0.00486242030414666,0.179773185945384,"UZB"
"VEN",0.0833175797797025,0.0452248691022211,-0.00621826216175293,0.169369174357118,"VEN"
"VNM",0.0879227314601894,0.0452226039159345,0.00130339034379991,0.177050365582663,"VNM"
"YEM",0.0836801890386256,0.0439655109875564,-0.00147700612211954,0.166200702036621,"YEM"
"ZAF",0.166406000373091,0.0501203597431872,0.0726348385269616,0.2669777463715,"ZAF"
"ZMB",-0.484150631231329,0.0440128262834793,-0.574433476504897,-0.40285488828993,"ZMB"
"ZWE",-1.47789867311602,0.0461135724866264,-1.56689623497712,-1.38505325390556,"ZWE"
